Contamination,Pseudo-defects,ROC-AUC (mean),ROC-AUC (std)
0.5%,356,0.9290941865705273,0.03209430145635538
0.9%,633,0.9328478293525612,0.02872973984079279
2.0%,1424,0.9169454709328526,0.050216290837000584
5.0%,3559,0.9109752140603877,0.030123979044388852
