Config,Model,ROC-AUC,ROC±,PR-AUC,PR±
A: Labeled only,QDA,0.934405588102749,0.017536667271616374,0.35264787779492834,0.10259238683616932
A: Labeled only,RF,0.9271203244704822,0.032679275739354925,0.45085022367141364,0.11214243856435437
A: Labeled only,MLP,0.9493576686194982,0.014912571547773505,0.4348924448289983,0.1190737990377214
B: Labeled+Pseudo-defect,QDA,0.8226008712633318,0.053640569159990985,0.2143755134909525,0.13507177279758703
B: Labeled+Pseudo-defect,RF,0.9328388162836113,0.028716819077771107,0.44448110316131934,0.1310576922167783
B: Labeled+Pseudo-defect,MLP,0.9324719843773472,0.014095816336799105,0.42794506510572,0.12524548771087435
